Date,Months Past Since November 2014,Price,CPI,Unemployment Rate
Nov 14,0,2.2196,248.37,19.9
Dec 14,1,2.3345,248.82,20.2
Jan 15,2,2.4464,247.72,20
Feb 15,3,2.5088,250.45,20
Mar 15,4,2.5978,252.24,18.6
Apr 15,5,2.6723,255.23,17
May 15,6,2.663,259.39,17
Jun 15,7,2.6816,260.85,17.7
Jul 15,8,2.771,259.51,18.3
Aug 15,9,2.9148,259.74,18.3
Sep 15,10,3.0257,260.78,18.5
Oct 15,11,2.9151,263.11,19.3
Nov 15,12,2.9131,267.2,19.1
Dec 15,13,2.9177,268.98,19.2
Jan 16,14,2.9553,269.54,19.2
Feb 16,15,2.9654,274.44,18.6
Mar 16,16,2.817,274.38,17
Apr 16,17,2.7955,274.27,16
May 16,18,2.9495,276.42,17.4
Jun 16,19,2.8777,278.02,19.4
Jul 16,20,2.9883,279.33,19.8
Aug 16,21,2.958,282.58,19.9
Sep 16,22,2.9992,281.76,19.9
Oct 16,23,3.0939,282.27,21.2
Nov 16,24,3.437,286.33,22.6
Dec 16,25,3.5277,287.81,24
Jan 17,26,3.7734,292.54,24.5
Feb 17,27,3.6472,302.17,23.3
Mar 17,28,3.6352,305.24,21.4
Apr 17,29,3.5516,309.23,19.8
May 17,30,3.527,310.61,19.8
Jun 17,31,3.5212,309.78,20.6
Jul 17,32,3.5193,310.24,21.1
Aug 17,33,3.4527,311.85,20.6
Sep 17,34,3.5637,313.88,20
Oct 17,35,3.792,320.4,19.3
Nov 17,36,3.919,325.18,19.3
Dec 17,37,3.79,327.41,19.2
Jan 18,38,3.7555,330.75,19.9
Feb 18,39,3.7988,333.17,19
Mar 18,40,3.9552,336.48,17.7
Apr 18,41,4.0617,342.78,16.9
May 18,42,4.5245,348.34,17.8
Jun 18,43,4.5872,357.44,19.4
Jul 18,44,4.9142,359.41,19.9
Aug 18,45,6.538,367.66,20.8
Sep 18,46,6.056,390.84,21.6
Oct 18,47,5.5835,401.27,22.3
Nov 18,48,5.2128,395.48,23.6
Dec 18,49,5.2887,393.88,24.5
Jan 19,50,5.1645,398.07,26.7
Feb 19,51,5.3371,398.71,26.1
Mar 19,52,5.5555,402.81,25.2
Apr 19,53,5.9656,409.63,23.2
May 19,54,5.8382,413.52,23.3
Jun 19,55,5.7921,413.63,24.8
Jul 19,56,5.5864,419.24,27.1
Aug 19,57,5.8306,422.84,27.4
